order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,,,,,,
2539329,1,1,2,8,,,,1,11,19,3
2398795,1,2,3,7,15,,,2,15,16,2
473747,1,3,3,12,21,,,3,13,12,1
2254736,1,4,4,7,29,,,4,6,17,5
431534,1,5,4,15,28,,,5,5,12,1
3367565,1,6,2,7,19,,,6,4,13,4
550135,1,7,1,9,20,,,7,21,10,2
3108588,1,8,1,14,14,,,8,4,23,3
2295261,1,9,1,16,0,,,9,4,22,3
2550362,1,10,4,8,30,,,10,6,22,3
1187899,1,11,4,8,14,,,11,8,19,5
2168274,2,1,2,11,,,,12,6,26,3
1501582,2,2,5,10,10,,,13,13,8,3
1901567,2,3,1,10,3,,,14,14,21,4
738281,2,4,2,10,8,,,15,23,11,2
1673511,2,5,3,11,8,,,16,7,19,2
1199898,2,6,2,9,13,,,17,41,8,3
3194192,2,7,2,12,14,,,18,7,6,3
788338,2,8,1,15,27,,,19,10,9,5
1718559,2,9,2,9,8,,,20,5,11,2
1447487,2,10,1,11,6,,,21,34,10,2
1402090,2,11,1,10,30,,,22,16,13,3
3186735,2,12,1,9,28,,,23,5,19,3
3268552,2,13,4,11,30,,,24,19,15,3
839880,2,14,3,10,13,,,25,4,30,2
1492625,2,15,1,11,30,,,26,13,12,4
1374495,3,1,1,14,,,,27,82,4,3
444309,3,2,3,19,9,,,28,25,12,2
3002854,3,3,3,16,21,,,29,19,12,4
2037211,3,4,2,18,20,,,30,9,22,1
2710558,3,5,0,17,12,,,31,21,6,2
1972919,3,6,0,16,7,,,32,6,22,2
1839752,3,7,0,15,7,,,33,4,25,3
3225766,3,8,0,17,7,,,34,6,22,3
3160850,3,9,0,16,7,,,35,10,21,4
676467,3,10,3,16,17,,,36,38,10,3
521107,3,11,0,18,11,,,37,24,14,3
1402502,3,12,1,15,15,,,38,13,22,3
2774568,3,13,5,15,11,,,39,8,11,4
3343014,4,1,6,11,,,,40,10,12,1
2030307,4,2,4,11,19,,,41,6,27,2
691089,4,3,4,15,21,,,42,17,14,2
94891,4,4,5,13,15,,,43,12,12,3
2557754,4,5,5,13,0,,,44,4,30,0
329954,4,6,3,12,30,,,45,5,16,3
2717275,5,1,3,12,,,,46,20,17,1
1909121,5,2,0,16,11,,,47,6,10,4
2267326,5,3,3,18,10,,,48,11,21,5
157374,5,4,1,18,19,,,49,9,25,3
2196797,5,5,0,11,6,,,50,68,5,3
2086598,6,1,5,18,,,,51,4,15,3
298250,6,2,4,16,6,,,52,28,9,2
998866,6,3,2,18,12,,,53,4,15,3
1528013,6,4,3,16,22,,,54,78,5,3
2565571,7,1,3,9,,,,55,8,19,2
2402008,7,2,1,19,30,,,56,13,7,1
121053,7,3,0,18,30,,,57,15,8,4
1695742,7,4,2,10,9,,,58,16,9,3
3321109,7,5,5,18,3,,,59,11,16,2
1682003,7,6,1,18,10,,,60,9,26,3
1014379,7,7,1,15,7,,,61,5,23,3
776265,7,8,2,12,8,,,62,11,17,3
2507052,7,9,6,7,4,,,63,40,9,3
1396119,7,10,1,20,9,,,64,11,12,4
565870,7,11,0,15,6,,,65,15,14,2
3239072,7,12,0,14,7,,,66,7,29,3
1175028,7,13,5,15,5,,,67,25,7,2
3060817,7,14,1,13,17,,,68,7,29,4
3120740,7,15,3,16,2,,,69,6,11,2
2425840,7,16,0,13,11,,,70,14,20,4
23391,7,17,0,10,28,,,71,24,14,3
2984707,7,18,0,9,7,,,72,13,17,4
369015,7,19,3,12,3,,,73,8,23,3
2452257,7,20,3,9,7,,,74,6,16,3
525192,7,21,2,11,6,,,75,24,9,3
600894,8,1,6,0,,,,76,10,21,3
2979257,8,2,1,8,30,,,77,13,15,1
2570360,8,3,5,0,30,,,78,7,15,3
880375,8,4,1,14,10,,,79,8,20,0
280530,9,1,1,17,,,,80,13,9,2
2762092,9,2,0,14,6,,,81,8,21,3
1830137,9,3,5,12,30,,,82,20,11,2
1094988,9,4,6,10,30,,,83,7,20,3
1224907,10,1,2,14,,,,84,9,22,2
68288,10,2,5,15,30,,,85,8,16,3
2115522,10,3,3,19,12,,,86,18,19,2
83395,10,4,3,15,14,,,87,28,10,2
1353310,10,5,5,20,23,,,88,8,18,4
1822501,10,6,0,19,30,,,89,21,9,2
2411567,11,1,0,11,,,,90,72,3,4
1170872,11,2,5,11,12,,,91,16,10,3
2840752,11,3,5,10,14,,,92,6,24,3
1611810,11,4,5,13,30,,,93,15,13,4
2921164,11,5,5,11,30,,,94,10,16,4
790927,11,6,5,11,7,,,95,9,21,3
1468214,11,7,5,9,30,,,96,17,13,3
1376945,11,8,6,11,8,,,97,6,20,3
1483446,12,1,1,12,,,,98,15,21,3
1247527,12,2,5,9,30,,,99,19,18,3
1916106,12,3,5,8,14,,,100,6,27,3
1057378,12,4,3,9,26,,,101,21,15,3
221248,12,5,1,9,30,,,102,7,26,3
1356845,12,6,1,20,30,,,103,18,12,3
2618231,13,1,6,12,,,,104,6,17,3
2560699,13,2,0,11,8,,,105,8,22,3
2288946,13,3,6,21,6,,,106,4,9,4
19256,13,4,1,12,9,,,107,16,16,3
1378982,13,5,0,13,6,,,108,8,20,1
2363981,13,6,0,18,7,,,109,7,20,1
1906169,13,7,0,8,7,,,110,21,16,2
1757094,13,8,6,18,13,,,111,8,18,4
519471,13,9,6,17,7,,,112,27,8,3
2298068,13,10,6,22,7,,,113,6,16,4
1472646,13,11,0,14,8,,,114,5,7,1
1789302,13,12,6,13,6,,,115,13,16,3
1827621,13,13,0,21,8,,,116,7,13,3
2906263,14,1,2,18,,,,117,12,19,3
3206747,14,2,5,8,30,,,118,28,13,2
1366559,14,3,0,14,2,,,119,4,18,2
1385564,14,4,6,8,20,,,120,4,21,3
